game_id,game_date,season,goalie_id,goalie_name,team_abbrev,opponent_team,is_home,saves,team_shots,shooting_team,sog_event_id,projected_team_sog,n_sog_books,market_event_id,market_requested_ts,w1_anchor_ts,home_abbrev,away_abbrev,home_expected_goals,away_expected_goals,market_opponent_goals,coherence_raw_saves,split,predicted_starter_saves
2023020594,2024-01-04,20232024,8470594,M. Fleury,MIN,TBL,1,26,23,TBL,a25446996f9ec0f9bfe22c6dad9f9f97,31.752673541684413,6.0,a25446996f9ec0f9bfe22c6dad9f9f97,2024-01-04T22:30:00Z,2024-01-04T22:30:00Z,MIN,TBL,2.756897421009326,3.2431025789906736,3.2431025789906736,28.50957096269374,development_train,27.812616153735142
2023020609,2024-01-06,20232024,8470594,M. Fleury,MIN,CBJ,0,26,36,CBJ,c9de37c93a58d8fb4fa889a7766e43a7,27.318724093700737,6.0,c9de37c93a58d8fb4fa889a7766e43a7,2024-01-06T22:30:00Z,2024-01-06T22:30:00Z,CBJ,MIN,2.762178909190745,3.2378210908092555,2.762178909190745,24.556545184509993,development_train,24.685756047207363
2023020623,2024-01-08,20232024,8470594,M. Fleury,MIN,DAL,1,16,23,DAL,09a62ed1d5158b9777231c58210713e7,31.19229975748821,6.0,09a62ed1d5158b9777231c58210713e7,2024-01-08T22:30:00Z,2024-01-08T22:30:00Z,MIN,DAL,2.901609963619901,3.5983900363800996,3.5983900363800996,27.593909721108112,development_train,27.08832423962491
2023020652,2024-01-12,20232024,8470594,M. Fleury,MIN,PHI,1,31,29,PHI,d1744544ed5dd65577f73b4b71456fef,31.252843676709205,6.0,d1744544ed5dd65577f73b4b71456fef,2024-01-12T22:30:00Z,2024-01-12T22:30:00Z,MIN,PHI,2.838742925017842,2.911257074982158,2.911257074982158,28.341586601727048,development_train,27.67973981386249
2023020676,2024-01-15,20232024,8470594,M. Fleury,MIN,NYI,1,21,40,NYI,ff6e26f9869370a8c195e312681140c2,29.327126696074536,6.0,ff6e26f9869370a8c195e312681140c2,2024-01-15T22:30:00Z,2024-01-15T22:30:00Z,MIN,NYI,3.08800172325316,2.91199827674684,2.91199827674684,26.415128419327697,development_train,26.155903245256496
2023020704,2024-01-19,20232024,8470594,M. Fleury,MIN,FLA,0,10,26,FLA,4d8c7e3cec0b5b71545074192d678faa,34.86026913759579,5.0,4d8c7e3cec0b5b71545074192d678faa,2024-01-19T22:30:00Z,2024-01-19T22:30:00Z,FLA,MIN,3.8927504108349447,2.1072495891650553,3.8927504108349447,30.967518726760847,development_train,29.756863228926704
2023020801,2024-02-09,20232024,8470594,M. Fleury,MIN,PIT,1,34,30,PIT,cd914427eb3de33ae6984e7265c753da,32.583379249743594,6.0,cd914427eb3de33ae6984e7265c753da,2024-02-09T22:30:00Z,2024-02-09T22:30:00Z,MIN,PIT,2.737755167176062,3.2622448328239377,3.2622448328239377,29.321134416919655,development_train,28.454566277850155
2023020836,2024-02-14,20232024,8470594,M. Fleury,MIN,ARI,0,25,43,ARI,69d24b8915c8e663a4a3986e66363df5,27.780752394217977,6.0,69d24b8915c8e663a4a3986e66363df5,2024-02-14T22:30:00Z,2024-02-14T22:30:00Z,ARI,MIN,2.9103370797507355,3.089662920249265,2.9103370797507355,24.87041531446724,development_train,24.93402864725222
2023020880,2024-02-20,20232024,8470594,M. Fleury,MIN,WPG,0,24,39,WPG,0303166bbb6b9229fce8d8cc9f53ea16,31.291056775269393,6.0,0303166bbb6b9229fce8d8cc9f53ea16,2024-02-20T22:30:00Z,2024-02-20T22:30:00Z,WPG,MIN,3.2907179178389003,2.4592820821610997,3.2907179178389003,28.000338857430492,development_validation,27.40981140510474
2023020913,2024-02-24,20232024,8470594,M. Fleury,MIN,SEA,0,30,31,SEA,444436a10baae795bb8561f239099a01,29.086097786147963,6.0,444436a10baae795bb8561f239099a01,2024-02-24T22:30:00Z,2024-02-24T22:30:00Z,SEA,MIN,3.408650058581208,2.591349941418792,3.408650058581208,25.677447727566754,development_validation,25.572394698676035
2023020967,2024-03-02,20232024,8470594,M. Fleury,MIN,STL,0,24,22,STL,525531f86050e666f4f37b1f0a60921c,28.27154612606052,6.0,525531f86050e666f4f37b1f0a60921c,2024-03-02T22:30:00Z,2024-03-02T22:30:00Z,STL,MIN,2.7617243685015422,3.2382756314984578,2.7617243685015422,25.509821757558978,development_validation,25.439801847567395
2023021001,2024-03-07,20232024,8470594,M. Fleury,MIN,ARI,0,23,28,ARI,7f22b1498979f2cb7fd7d7776b03b3f4,27.966245508482324,6.0,7f22b1498979f2cb7fd7d7776b03b3f4,2024-03-07T22:30:00Z,2024-03-07T22:30:00Z,ARI,MIN,2.586178448366365,3.4138215516336348,2.586178448366365,25.38006706011596,development_validation,25.337165333202044
2023021023,2024-03-10,20232024,8470594,M. Fleury,MIN,NSH,1,27,33,NSH,e78c92b644c32d2931404be5cf3508b5,29.077036868281212,6.0,e78c92b644c32d2931404be5cf3508b5,2024-03-09T22:30:00Z,2024-03-10T19:00:00Z,MIN,NSH,3.3359056520883987,2.6640943479116013,2.6640943479116013,26.41294252036961,development_validation,26.154174189937237
2023021037,2024-03-12,20232024,8470594,M. Fleury,MIN,ARI,1,22,31,ARI,28fa9ef382a71a3d6b6cc6e02ef17cf3,28.21141198045859,6.0,28fa9ef382a71a3d6b6cc6e02ef17cf3,2024-03-12T22:30:00Z,2024-03-12T22:30:00Z,MIN,ARI,4.14085751757725,2.3591424824227505,2.3591424824227505,25.852269498035838,development_validation,25.71067945837813
2023021054,2024-03-14,20232024,8470594,M. Fleury,MIN,ANA,1,16,31,ANA,b8e2e25858c173596ccfee0f203285f6,26.8880688323138,6.0,b8e2e25858c173596ccfee0f203285f6,2024-03-14T22:30:00Z,2024-03-14T22:30:00Z,MIN,ANA,4.249027116532869,1.7509728834671312,1.7509728834671312,25.137095948846667,development_validation,25.14497415674689
2023021069,2024-03-16,20232024,8470594,M. Fleury,MIN,STL,0,35,24,STL,bee0867ec08c769abca4b86e05776382,27.022022104530322,6.0,bee0867ec08c769abca4b86e05776382,2024-03-16T22:30:00Z,2024-03-16T22:30:00Z,STL,MIN,2.5476314959096644,2.9523685040903356,2.5476314959096644,24.47439060862066,development_validation,24.620771430275497
2023021097,2024-03-20,20232024,8470594,M. Fleury,MIN,LAK,0,11,31,LAK,46e88a47cb718a6366a83a4017474031,30.462889480552796,6.0,46e88a47cb718a6366a83a4017474031,2024-03-20T22:30:00Z,2024-03-20T22:30:00Z,LAK,MIN,3.189567878130107,2.310432121869893,3.189567878130107,27.27332160242269,development_validation,26.83473768208801
2023021115,2024-03-23,20232024,8470594,M. Fleury,MIN,STL,1,22,34,STL,9e301eb62be437a4e4c18a41c76e92e4,28.303243543806037,6.0,9e301eb62be437a4e4c18a41c76e92e4,2024-03-22T22:30:00Z,2024-03-23T17:30:00Z,MIN,STL,3.117764080073069,2.382235919926931,2.382235919926931,25.921007623879106,development_validation,25.765051606590013
2023021193,2024-04-02,20232024,8470594,M. Fleury,MIN,OTT,1,30,19,OTT,78406ab86c6773ae2ee7a447cf54d783,31.422334958220745,6.0,78406ab86c6773ae2ee7a447cf54d783,2024-04-02T22:30:00Z,2024-04-02T22:30:00Z,MIN,OTT,3.3804313029192423,2.6195686970807577,2.6195686970807577,28.802766261139986,development_validation,28.044534874628056
2023021219,2024-04-06,20232024,8470594,M. Fleury,MIN,WPG,1,21,27,WPG,20c8750553e89ae6e189fd98f9420139,31.137241053484527,6.0,20c8750553e89ae6e189fd98f9420139,2024-04-05T22:30:00Z,2024-04-06T19:30:00Z,MIN,WPG,2.5994475110871726,2.9005524889128274,2.9005524889128274,28.2366885645717,development_validation,27.596765022894942
2023021269,2024-04-12,20232024,8470594,M. Fleury,MIN,VGK,0,23,27,VGK,26c8d4daae1e85499d57676a0af6ec5a,30.743974152204412,6.0,26c8d4daae1e85499d57676a0af6ec5a,2024-04-12T22:30:00Z,2024-04-12T22:30:00Z,VGK,MIN,3.6737305241341147,2.3262694758658853,3.6737305241341147,27.070243628070298,development_validation,26.674102145628467
2023021307,2024-04-18,20232024,8470594,M. Fleury,MIN,SEA,1,23,24,SEA,443c3334a9a701d6be67bbc00fbb6ad4,27.151825888725533,5.0,443c3334a9a701d6be67bbc00fbb6ad4,2024-04-18T22:30:00Z,2024-04-18T22:30:00Z,MIN,SEA,3.7173308215093357,2.2826691784906643,2.2826691784906643,24.86915671023487,development_validation,24.93303308598221
2023020078,2023-10-21,20232024,8471734,J. Quick,NYR,SEA,0,18,27,SEA,59803dabf649533049c047ac2847ac36,28.679141221567132,3.0,59803dabf649533049c047ac2847ac36,2023-10-21T22:30:00Z,2023-10-21T22:30:00Z,SEA,NYR,3.1278387594833803,3.3721612405166197,3.1278387594833803,25.55130246208375,development_train,25.4726132602541
2023020110,2023-10-26,20232024,8471734,J. Quick,NYR,EDM,0,29,32,EDM,784c45625eb326dc988580ea4432f182,31.29754224212011,2.0,784c45625eb326dc988580ea4432f182,2023-10-26T22:30:00Z,2023-10-26T22:30:00Z,EDM,NYR,2.7140020288033773,3.285997971196623,2.7140020288033773,28.58354021331673,development_train,27.871126143768414
2023020169,2023-11-04,20232024,8471734,J. Quick,NYR,MIN,0,35,18,MIN,cf1321839ea4c93e3c6f584e907ef04b,31.17357919065374,5.0,cf1321839ea4c93e3c6f584e907ef04b,2023-11-04T22:30:00Z,2023-11-04T22:30:00Z,MIN,NYR,3.0735984800462424,2.9264015199537576,3.0735984800462424,28.099980710607497,development_train,27.488628532318828
2023020183,2023-11-07,20232024,8471734,J. Quick,NYR,DET,1,25,32,DET,edea91338a8a8ed9c4f2f8a390afee8c,26.734121863661933,5.0,edea91338a8a8ed9c4f2f8a390afee8c,2023-11-07T22:30:00Z,2023-11-07T22:30:00Z,NYR,DET,3.475740295662958,2.524259704337042,2.524259704337042,24.209862159324892,development_train,24.411528308282847
2023020225,2023-11-12,20232024,8471734,J. Quick,NYR,CBJ,1,25,40,CBJ,1f8fd7ffad7ab5239675aee8479cf9bd,29.396487756609556,5.0,1f8fd7ffad7ab5239675aee8479cf9bd,2023-11-12T22:30:00Z,2023-11-12T22:30:00Z,NYR,CBJ,4.391435012971635,2.108564987028365,2.108564987028365,27.28792276958119,development_train,26.84628726705369
2023020283,2023-11-22,20232024,8471734,J. Quick,NYR,PIT,0,32,36,PIT,d5e054402ce5e3a57562e4e404c749a5,30.850035038122655,4.0,d5e054402ce5e3a57562e4e404c749a5,2023-11-22T22:30:00Z,2023-11-22T22:30:00Z,PIT,NYR,3.373053339714433,3.126946660285567,3.373053339714433,27.476981698408224,development_train,26.995833679220965
