side,cluster_id,blind_profit_sum,blind_bet_count,model_profit_sum,model_bet_count
OVER,2024020133:8480947,-2.0,2,0.0,0
OVER,2024020134:8477970,0.8700000000000001,1,0.0,0
OVER,2024020134:8478492,-1.0,1,-1.0,1
OVER,2024020135:8475883,-2.0,2,0.0,0
OVER,2024020135:8478916,1.6600000000000001,2,0.0,0
OVER,2024020136:8475660,0.8300000000000001,1,0.0,0
OVER,2024020136:8475717,0.8,1,0.8,1
OVER,2024020137:8474593,-2.0,2,-2.0,2
OVER,2024020138:8480051,-2.0,2,0.0,0
OVER,2024020139:8481020,-2.0,2,-1.0,1
OVER,2024020140:8475683,-2.0,2,0.0,0
OVER,2024020140:8480045,-2.0,2,0.0,0
OVER,2024020141:8476883,1.6600000000000001,2,0.0,0
OVER,2024020142:8478007,1.7400000000000002,2,1.7400000000000002,2
OVER,2024020142:8479973,-2.0,2,-2.0,2
OVER,2024020143:8476932,-2.0,2,0.0,0
OVER,2024020143:8476945,1.6,2,1.6,2
OVER,2024020144:8475852,-1.0,1,0.0,0
OVER,2024020144:8480382,-2.0,2,-2.0,2
OVER,2024020145:8478406,-2.0,2,0.0,0
OVER,2024020145:8478971,1.6,2,1.6,2
OVER,2024020146:8480947,-2.0,2,0.0,0
OVER,2024020146:8481611,1.7400000000000002,2,1.7400000000000002,2
OVER,2024020147:8478435,1.78,2,0.0,0
OVER,2024020147:8478499,-2.0,2,-2.0,2
OVER,2024020148:8476914,-2.0,2,0.0,0
OVER,2024020148:8481035,1.6400000000000001,2,0.0,0
OVER,2024020149:8478470,-3.0,3,0.0,0
OVER,2024020150:8476999,2.3600000000000003,3,2.3600000000000003,3
OVER,2024020150:8480981,-3.0,3,0.0,0
OVER,2024020151:8478048,1.7100000000000002,2,0.0,0
OVER,2024020151:8480313,-2.0,2,-2.0,2
OVER,2024020152:8478009,-3.0,3,-3.0,3
OVER,2024020152:8480843,2.75,3,0.0,0
OVER,2024020153:8470594,-3.0,3,0.0,0
OVER,2024020153:8482446,2.49,3,0.0,0
OVER,2024020154:8477970,-3.0,3,0.0,0
OVER,2024020154:8479496,-3.0,3,-3.0,3
OVER,2024020155:8473575,-3.0,3,0.0,0
OVER,2024020155:8478007,-3.0,3,0.0,0
OVER,2024020156:8476945,-3.0,3,0.0,0
OVER,2024020156:8479312,-3.0,3,0.0,0
