game_date,game_id,goalie_name,betting_line,goalie_id,team_abbrev,opponent_team,is_home,predicted_saves,prob_over,confidence_pct,confidence_bucket,recommendation,bet_amount,bet_selection,actual_saves,result,profit_loss,notes,line_over,line_under,ev,book
2026-01-06,2025020675,nedeljkovic,25.5,8477968.0,SJS,CBJ,1,25.20000076293945,0.4327419400215149,13.45161247253418,55-60%,UNDER,1.0,UNDER,34.0,LOSS,-1.0,,,,,
2026-01-06,2025020675,greaves,23.5,8482982.0,CBJ,SJS,0,23.5,0.5020118355751038,0.402367115020752,50-55%,NO BET,,NONE,31.0,NO BET,0.0,,,,,
2026-01-06,2025020669,markstrom,23.5,8474593.0,NJD,NYI,0,23.70000076293945,0.5303427577018738,6.068551540374756,50-55%,NO BET,,NONE,15.0,NO BET,0.0,,,,,
2026-01-06,2025020676,,,,BOS,SEA,0,,,,,,,NONE,,,,,,,,
2026-01-06,2025020667,Luukkonen,22.5,8480045.0,BUF,VAN,1,22.79999923706055,0.5552597641944885,11.05195236206055,55-60%,OVER,1.0,OVER,34.0,WIN,0.9090909090909092,,,,,
2026-01-07,2025020680,Vejmelka,22.5,8478872.0,UTA,OTT,1,22.70000076293945,0.546044647693634,9.208929061889648,50-55%,NO BET,,NONE,32.0,NO BET,0.0,,-130.0,100.0,,
2026-01-07,2025020677,Thompson,22.5,8480313.0,WSH,DAL,1,22.20000076293945,0.4415842294692993,11.68315410614014,55-60%,UNDER,1.0,UNDER,32.0,LOSS,-1.0,,-118.0,-110.0,,
2026-01-07,2025020678,Fowler,24.5,8484170.0,MTL,CGY,1,24.5,0.505362331867218,1.072466373443604,50-55%,NO BET,,NONE,28.0,NO BET,0.0,,-107.0,-122.0,,
2026-01-07,2025020678,Wolf,23.5,8481692.0,CGY,MTL,0,23.39999961853027,0.4876142144203186,2.477157115936279,50-55%,NO BET,,NONE,31.0,NO BET,0.0,,-124.0,-106.0,,
2026-01-07,2025020679,Knight,22.5,8481519.0,CHI,STL,1,22.70000076293945,0.5314849615097046,6.296992301940918,50-55%,NO BET,1.0,OVER,27.0,WIN,0.9433962264150944,,-106.0,-127.0,,
2026-01-07,2025020677,DeSmith,24.5,8479193.0,DAL,WSH,0,24.5,0.5059720873832703,1.194417476654053,50-55%,NO BET,,NONE,23.0,NO BET,0.0,,-108.0,-121.0,,
2026-01-07,2025020680,,,,OTT,UTA,0,,,,,,,NONE,,,,,,,,
2026-01-07,2025020681,Kuemper,21.5,8475311.0,LAK,SJS,1,21.70000076293945,0.53449547290802,6.899094581604004,50-55%,NO BET,,NONE,24.0,NO BET,0.0,,-115.0,-113.0,,
